municipio_distrito;fecha_informe;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-Retiro                               ;2020/04/13 07:00:00;352;364,27;1011;1046,24;79603
Madrid-Salamanca                            ;2020/04/13 07:00:00;387;245,96;1202;763,95;79604
Madrid-Centro                               ;2020/04/13 07:00:00;314;220,77;838;589,19;79601
Madrid-Arganzuela                           ;2020/04/13 07:00:00;401;224,77;1161;650,78;79602
Madrid-Chamartín                            ;2020/04/13 07:00:00;430;292,75;1140;776,12;79605
Madrid-Tetuán                               ;2020/04/13 07:00:00;673;411,68;1616;988,51;79606
Madrid-Chamberí                             ;2020/04/13 07:00:00;388;261,31;1038;699,07;79607
Madrid-Fuencarral-El Pardo                  ;2020/04/13 07:00:00;966;430,21;2227;991,81;79608
Madrid-Moncloa-Aravaca                      ;2020/04/13 07:00:00;285;224,61;871;686,45;79609
Madrid-Latina                               ;2020/04/13 07:00:00;674;270,06;1776;711,62;79610
Madrid-Carabanchel                          ;2020/04/13 07:00:00;584;237;1784;723,97;79611
Madrid-Usera                                ;2020/04/13 07:00:00;319;214,88;1041;701,24;79612
Madrid-Puente de Vallecas                   ;2020/04/13 07:00:00;791;309,3;2317;906,02;79613
Madrid-San Blas - Canillejas                ;2020/04/13 07:00:00;402;289,47;1167;840,32;79620
Madrid-Barajas                              ;2020/04/13 07:00:00;118;223,99;344;652,99;79621
Madrid-Moratalaz                            ;2020/04/13 07:00:00;398;303,45;1080;823,43;79614
Madrid-Ciudad Lineal                        ;2020/04/13 07:00:00;558;210,84;1473;556,57;79615
Madrid-Hortaleza                            ;2020/04/13 07:00:00;467;221,04;1406;665,48;79616
Madrid-Villaverde                           ;2020/04/13 07:00:00;314;197,43;1072;674,03;79617
Madrid-Villa de Vallecas                    ;2020/04/13 07:00:00;255;239,15;987;925,64;79618
Madrid-Vicálvaro                            ;2020/04/13 07:00:00;233;442,57;632;1200,45;79619
Pozuelo de Alarcón                          ;2020/04/13 07:00:00;98;110,99;409;463,19;1150
Alcorcón                                    ;2020/04/13 07:00:00;632;361,47;1256;718,37;72
Navalcarnero                                ;2020/04/13 07:00:00;35;123,99;117;414,47;967
San Agustín del Guadalix                    ;2020/04/13 07:00:00;27;185,4;43;295,27;1296
Las Rozas de Madrid                         ;2020/04/13 07:00:00;222;231,62;498;519,57;1277
Moraleja de Enmedio                         ;2020/04/13 07:00:00;6;112,02;20;373,41;894
Valdaracete                                 ;2020/04/13 07:00:00;;494,23;;823,72;1551
Pozuelo del Rey                             ;2020/04/13 07:00:00;;0;;202,02;1163
Puebla de la Sierra                         ;2020/04/13 07:00:00;;0;;0;1185
Perales de Tajuña                           ;2020/04/13 07:00:00;;80,58;7;188,02;1104
Valdemorillo                                ;2020/04/13 07:00:00;15;123,75;26;214,5;1603
Navalafuente                                ;2020/04/13 07:00:00;;251,89;;377,83;941
Velilla de San Antonio                      ;2020/04/13 07:00:00;22;176,1;51;408,23;1678
Villanueva de la Cañada                     ;2020/04/13 07:00:00;18;73,82;69;282,97;1760
Villanueva del Pardillo                     ;2020/04/13 07:00:00;12;71,05;60;355,26;1776
Nuevo Baztán                                ;2020/04/13 07:00:00;7;105,31;24;361,07;1006
Villamantilla                               ;2020/04/13 07:00:00;;0;7;829,38;1757
Villamanta                                  ;2020/04/13 07:00:00;6;281,56;7;328,48;1744
Cabanillas de la Sierra                     ;2020/04/13 07:00:00;;690,85;9;1554,4;297
Cenicientos                                 ;2020/04/13 07:00:00;;254,97;17;866,9;376
Puentes Viejas                              ;2020/04/13 07:00:00;;218,82;;437,64;9020
Aranjuez                                    ;2020/04/13 07:00:00;130;204,95;359;565,97;133
Cercedilla                                  ;2020/04/13 07:00:00;31;414,05;69;921,6;382
Santorcaz                                   ;2020/04/13 07:00:00;;176,68;7;1236,75;1369
Coslada                                     ;2020/04/13 07:00:00;238;269,22;617;697,94;493
Morata de Tajuña                            ;2020/04/13 07:00:00;15;193,12;81;1042,87;915
Robregordo                                  ;2020/04/13 07:00:00;;0;;0;1261
Navarredonda y San Mamés                    ;2020/04/13 07:00:00;;0;;1204,82;973
Venturada                                   ;2020/04/13 07:00:00;;0;;70,82;1697
Navacerrada                                 ;2020/04/13 07:00:00;;143,47;11;394,55;936
Montejo de la Sierra                        ;2020/04/13 07:00:00;;279,33;;279,33;881
Fresno de Torote                            ;2020/04/13 07:00:00;;249,79;13;1082,43;571
Pinilla del Valle                           ;2020/04/13 07:00:00;;0;;0;1126
Valdemaqueda                                ;2020/04/13 07:00:00;;233,92;;350,88;1599
Navas del Rey                               ;2020/04/13 07:00:00;6;203,8;42;1426,63;992
Olmeda de las Fuentes                       ;2020/04/13 07:00:00;;0;;1244,81;1013
Bustarviejo                                 ;2020/04/13 07:00:00;;168,82;6;337,65;284
Becerril de la Sierra                       ;2020/04/13 07:00:00;10;173,25;21;363,83;186
Fuenlabrada                                 ;2020/04/13 07:00:00;401;196,55;1156;566,63;587
Garganta de los Montes                      ;2020/04/13 07:00:00;;0;;364,96;626
Pinto                                       ;2020/04/13 07:00:00;52;97,83;174;327,36;1132
Alameda del Valle                           ;2020/04/13 07:00:00;;0;;0;35
Berzosa del Lozoya                          ;2020/04/13 07:00:00;;1315,79;;1315,79;203
Los Santos de la Humosa                     ;2020/04/13 07:00:00;;238,24;18;1072,07;1375
El Álamo                                    ;2020/04/13 07:00:00;12;121,54;33;334,24;40
Pelayos de la Presa                         ;2020/04/13 07:00:00;;150,09;15;562,85;1090
Galapagar                                   ;2020/04/13 07:00:00;47;141,69;131;394,94;611
Griñón                                      ;2020/04/13 07:00:00;26;225,19;68;588,95;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/04/13 07:00:00;;0;;1027,4;632
Aldea del Fresno                            ;2020/04/13 07:00:00;;165,78;30;994,69;88
Carabaña                                    ;2020/04/13 07:00:00;;171,62;11;629,29;357
Talamanca de Jarama                         ;2020/04/13 07:00:00;12;383,14;20;638,57;1454
Chapinería                                  ;2020/04/13 07:00:00;;131,12;6;262,24;513
Ciempozuelos                                ;2020/04/13 07:00:00;29;112,99;139;541,57;409
Ajalvir                                     ;2020/04/13 07:00:00;;105,35;9;189,63;29
San Lorenzo de El Escorial                  ;2020/04/13 07:00:00;22;124,19;62;349,99;1317
Gascones                                    ;2020/04/13 07:00:00;;0;;0;647
San Martín de la Vega                       ;2020/04/13 07:00:00;18;88,39;61;299,53;1322
Móstoles                                    ;2020/04/13 07:00:00;600;274,54;1427;652,95;920
Leganés                                     ;2020/04/13 07:00:00;1141;579,46;2467;1252,87;745
Braojos                                     ;2020/04/13 07:00:00;;621,12;;1242,24;246
Cubas de la Sagra                           ;2020/04/13 07:00:00;6;108,21;18;324,62;506
Algete                                      ;2020/04/13 07:00:00;42;189,15;79;355,78;91
Mejorada del Campo                          ;2020/04/13 07:00:00;66;269,32;150;612,09;843
Loeches                                     ;2020/04/13 07:00:00;20;288,56;47;678,11;758
Parla                                       ;2020/04/13 07:00:00;210;153,61;587;429,39;1065
Fuentidueña de Tajo                         ;2020/04/13 07:00:00;;50,43;15;756,43;604
Ambite                                      ;2020/04/13 07:00:00;;601,2;6;1202,4;112
Torremocha de Jarama                        ;2020/04/13 07:00:00;;124,53;8;996,26;1533
Anchuelo                                    ;2020/04/13 07:00:00;;261,78;7;916,23;127
Los Molinos                                 ;2020/04/13 07:00:00;15;374,34;36;898,43;875
Soto del Real                               ;2020/04/13 07:00:00;22;224,58;48;490;1441
Valverde de Alcalá                          ;2020/04/13 07:00:00;;375,94;6;2255,64;1662
Fuente el Saz de Jarama                     ;2020/04/13 07:00:00;13;152,22;20;234,19;590
Horcajo de la Sierra-Aoslos                 ;2020/04/13 07:00:00;;1470,59;;4411,76;702
Valdeolmos-Alalpardo                        ;2020/04/13 07:00:00;;73,8;8;295,2;1625
Campo Real                                  ;2020/04/13 07:00:00;14;232,4;21;348,61;339
Valdeavero                                  ;2020/04/13 07:00:00;;94,97;7;664,77;1564
Villamanrique de Tajo                       ;2020/04/13 07:00:00;;146,84;;440,53;1739
Cobeña                                      ;2020/04/13 07:00:00;9;120,69;29;388,9;416
Fresnedillas de la Oliva                    ;2020/04/13 07:00:00;;73,53;;220,59;565
Valdilecha                                  ;2020/04/13 07:00:00;;196;12;470,4;1659
El Berrueco                                 ;2020/04/13 07:00:00;;778,82;7;1090,34;210
Pezuela de las Torres                       ;2020/04/13 07:00:00;;0;;384,62;1111
Villar del Olmo                             ;2020/04/13 07:00:00;;298,51;;398,01;1795
Guadarrama                                  ;2020/04/13 07:00:00;43;272,19;83;525,38;685
San Martín de Valdeiglesias                 ;2020/04/13 07:00:00;17;199,32;51;597,96;1338
Torrelodones                                ;2020/04/13 07:00:00;40;154,24;102;393,31;1527
Boadilla del Monte                          ;2020/04/13 07:00:00;72;136,27;196;370,95;225
Torrejón de Velasco                         ;2020/04/13 07:00:00;;101,24;14;354,34;1505
Villanueva de Perales                       ;2020/04/13 07:00:00;;414,94;;518,67;1782
Tielmes                                     ;2020/04/13 07:00:00;;133,16;28;1242,79;1467
San Sebastián de los Reyes                  ;2020/04/13 07:00:00;208;226,73;405;441,46;1343
Guadalix de la Sierra                       ;2020/04/13 07:00:00;12;201,17;27;452,64;679
Humanes de Madrid                           ;2020/04/13 07:00:00;32;155,28;85;412,46;730
Chinchón                                    ;2020/04/13 07:00:00;11;213,14;23;445,65;528
Cadalso de los Vidrios                      ;2020/04/13 07:00:00;;65,72;6;197,17;318
Hoyo de Manzanares                          ;2020/04/13 07:00:00;9;117,48;19;248,01;724
Torrejón de la Calzada                      ;2020/04/13 07:00:00;8;92,8;21;243,59;1492
Estremera                                   ;2020/04/13 07:00:00;;247,12;;329,49;552
Corpa                                       ;2020/04/13 07:00:00;;0;6;1438,85;480
Meco                                        ;2020/04/13 07:00:00;29;207,41;114;815,33;838
Madarcos                                    ;2020/04/13 07:00:00;;0;;0;783
Zarzalejo                                   ;2020/04/13 07:00:00;;186,68;;248,91;1837
Arganda del Rey                             ;2020/04/13 07:00:00;121;208,82;272;469,42;148
Collado Mediano                             ;2020/04/13 07:00:00;7;106,5;11;167,35;468
Daganzo de Arriba                           ;2020/04/13 07:00:00;11;101,53;36;332,29;534
Manzanares El Real                          ;2020/04/13 07:00:00;14;161,51;28;323,03;822
Buitrago del Lozoya                         ;2020/04/13 07:00:00;;88,3;11;485,65;278
Valdelaguna                                 ;2020/04/13 07:00:00;;121,36;;121,36;1570
Valdepiélagos                               ;2020/04/13 07:00:00;;0;;0;1631
Casarrubuelos                               ;2020/04/13 07:00:00;;88,03;9;264,08;360
Miraflores de la Sierra                     ;2020/04/13 07:00:00;8;144,98;29;525,55;856
Paracuellos de Jarama                       ;2020/04/13 07:00:00;26;113;61;265,11;1049
El Vellón                                   ;2020/04/13 07:00:00;;211,27;11;774,65;1684
Lozoya                                      ;2020/04/13 07:00:00;;0;;236,97;761
Collado Villalba                            ;2020/04/13 07:00:00;122;176,11;262;378,2;474
Colmenarejo                                 ;2020/04/13 07:00:00;10;123,62;21;259,61;442
Villavieja del Lozoya                       ;2020/04/13 07:00:00;;0;;0;1821
Prádena del Rincón                          ;2020/04/13 07:00:00;;0;;0;1179
La Cabrera                                  ;2020/04/13 07:00:00;;164,96;9;296,93;301
Sevilla la Nueva                            ;2020/04/13 07:00:00;21;211,08;33;331,69;1415
La Acebeda                                  ;2020/04/13 07:00:00;;0;;0;14
Redueña                                     ;2020/04/13 07:00:00;;0;;584,8;1219
Robledillo de la Jara                       ;2020/04/13 07:00:00;;1851,85;;1851,85;1245
La Serna del Monte                          ;2020/04/13 07:00:00;;0;;0;1381
Colmenar de Oreja                           ;2020/04/13 07:00:00;9;125,05;21;291,79;437
Rozas de Puerto Real                        ;2020/04/13 07:00:00;;0;;0;1283
Valdemanco                                  ;2020/04/13 07:00:00;;135,14;;135,14;1586
Brunete                                     ;2020/04/13 07:00:00;10;88,56;48;425,08;262
Titulcia                                    ;2020/04/13 07:00:00;;100,6;;503,02;1473
Villa del Prado                             ;2020/04/13 07:00:00;28;424,44;53;803,4;1718
Lozoyuela-Navas-Sieteiglesias               ;2020/04/13 07:00:00;;261,55;;261,55;9015
Quijorna                                    ;2020/04/13 07:00:00;;254,71;12;611,31;1198
Valdemoro                                   ;2020/04/13 07:00:00;91;119,11;558;730,39;1610
Tres Cantos                                 ;2020/04/13 07:00:00;138;287,2;254;528,62;9036
Torrelaguna                                 ;2020/04/13 07:00:00;9;177,87;14;276,68;1512
Rivas-Vaciamadrid                           ;2020/04/13 07:00:00;171;198,53;451;523,62;1230
El Atazar                                   ;2020/04/13 07:00:00;;0;;0;164
Pedrezuela                                  ;2020/04/13 07:00:00;9;162,63;15;271,05;1087
Santa María de la Alameda                   ;2020/04/13 07:00:00;;105,71;;105,71;1356
Horcajuelo de la Sierra                     ;2020/04/13 07:00:00;;0;;0;719
Arroyomolinos                               ;2020/04/13 07:00:00;57;218,48;126;482,96;151
Moralzarzal                                 ;2020/04/13 07:00:00;26;199,66;52;399,32;908
Canencia                                    ;2020/04/13 07:00:00;;271;;271;344
Villarejo de Salvanés                       ;2020/04/13 07:00:00;12;157,46;33;433,01;1809
Serranillos del Valle                       ;2020/04/13 07:00:00;7;184,26;16;421,16;1408
Villaviciosa de Odón                        ;2020/04/13 07:00:00;40;144,2;146;526,32;1816
Camarma de Esteruelas                       ;2020/04/13 07:00:00;7;98,36;35;491,78;323
Robledo de Chavela                          ;2020/04/13 07:00:00;9;238,73;12;318,3;1258
Patones                                     ;2020/04/13 07:00:00;;655,02;;873,36;1071
Navalagamella                               ;2020/04/13 07:00:00;;44,44;;222,22;954
Rascafría                                   ;2020/04/13 07:00:00;;203,67;;339,44;1202
El Boalo                                    ;2020/04/13 07:00:00;14;221,34;24;379,45;231
Majadahonda                                 ;2020/04/13 07:00:00;94;120,56;322;412,98;800
Batres                                      ;2020/04/13 07:00:00;;224,72;6;1348,31;170
Alcobendas                                  ;2020/04/13 07:00:00;206;169,95;452;372,89;66
Alcalá de Henares                           ;2020/04/13 07:00:00;463;221,48;2026;969,16;53
Colmenar Viejo                              ;2020/04/13 07:00:00;145;287,68;250;496;455
San Fernando de Henares                     ;2020/04/13 07:00:00;118;280,77;306;728,1;1300
Villalbilla                                 ;2020/04/13 07:00:00;11;98,43;81;724,83;1723
El Escorial                                 ;2020/04/13 07:00:00;16;96,25;47;282,74;549
Colmenar del Arroyo                         ;2020/04/13 07:00:00;;0;;259,24;421
Torrejón de Ardoz                           ;2020/04/13 07:00:00;185;133,78;808;584,28;1489
Piñuécar-Gandullas                          ;2020/04/13 07:00:00;;0;;0;1147
Brea de Tajo                                ;2020/04/13 07:00:00;;272,11;;408,16;259
El Molar                                    ;2020/04/13 07:00:00;15;156,35;27;281,43;869
Belmonte de Tajo                            ;2020/04/13 07:00:00;;0;;144,61;199
Torres de la Alameda                        ;2020/04/13 07:00:00;19;230,58;57;691,75;1548
Somosierra                                  ;2020/04/13 07:00:00;;1612,9;;1612,9;1436
Alpedrete                                   ;2020/04/13 07:00:00;27;187,07;72;498,86;105
Orusco de Tajuña                            ;2020/04/13 07:00:00;8;724,64;16;1449,28;1028
La Hiruela                                  ;2020/04/13 07:00:00;;9090,91;;9090,91;698
Cervera de Buitrago                         ;2020/04/13 07:00:00;;925,93;;1851,85;395
Getafe                                      ;2020/04/13 07:00:00;357;186,52;871;455,07;650
Ribatejada                                  ;2020/04/13 07:00:00;;227,79;;455,58;1224
Villaconejos                                ;2020/04/13 07:00:00;;0;8;180,34;1701
Valdetorres de Jarama                       ;2020/04/13 07:00:00;;100,58;12;301,73;1646
Madrid-Retiro                               ;2020/04/12 07:00:00;364;376,69;1003;1037,96;79603
Madrid-Salamanca                            ;2020/04/12 07:00:00;390;247,87;1196;760,13;79604
Madrid-Centro                               ;2020/04/12 07:00:00;326;229,21;830;583,57;79601
Madrid-Arganzuela                           ;2020/04/12 07:00:00;417;233,74;1153;646,29;79602
Madrid-Chamartín                            ;2020/04/12 07:00:00;437;297,51;1132;770,67;79605
Madrid-Tetuán                               ;2020/04/12 07:00:00;695;425,13;1595;975,67;79606
Madrid-Chamberí                             ;2020/04/12 07:00:00;396;266,7;1027;691,67;79607
Madrid-Fuencarral-El Pardo                  ;2020/04/12 07:00:00;998;444,46;2205;982,01;79608
Madrid-Moncloa-Aravaca                      ;2020/04/12 07:00:00;298;234,86;869;684,88;79609
Madrid-Latina                               ;2020/04/12 07:00:00;668;267,66;1755;703,21;79610
Madrid-Carabanchel                          ;2020/04/12 07:00:00;584;237;1761;714,64;79611
Madrid-Usera                                ;2020/04/12 07:00:00;318;214,21;1034;696,52;79612
Madrid-Puente de Vallecas                   ;2020/04/12 07:00:00;843;329,64;2295;897,41;79613
Madrid-San Blas - Canillejas                ;2020/04/12 07:00:00;441;317,55;1157;833,12;79620
Madrid-Barajas                              ;2020/04/12 07:00:00;130;246,77;343;651,09;79621
Madrid-Moratalaz                            ;2020/04/12 07:00:00;412;314,12;1063;810,47;79614
Madrid-Ciudad Lineal                        ;2020/04/12 07:00:00;585;221,04;1457;550,53;79615
Madrid-Hortaleza                            ;2020/04/12 07:00:00;510;241,39;1387;656,49;79616
Madrid-Villaverde                           ;2020/04/12 07:00:00;315;198,06;1064;669;79617
Madrid-Villa de Vallecas                    ;2020/04/12 07:00:00;275;257,9;981;920,01;79618
Madrid-Vicálvaro                            ;2020/04/12 07:00:00;236;448,27;623;1183,35;79619
Pozuelo de Alarcón                          ;2020/04/12 07:00:00;104;117,78;407;460,93;1150
Alcorcón                                    ;2020/04/12 07:00:00;621;355,18;1243;710,93;72
Navalcarnero                                ;2020/04/12 07:00:00;36;127,53;117;414,47;967
San Agustín del Guadalix                    ;2020/04/12 07:00:00;24;164,8;40;274,67;1296
Las Rozas de Madrid                         ;2020/04/12 07:00:00;229;238,92;497;518,53;1277
Moraleja de Enmedio                         ;2020/04/12 07:00:00;6;112,02;20;373,41;894
Valdaracete                                 ;2020/04/12 07:00:00;;494,23;;823,72;1551
Pozuelo del Rey                             ;2020/04/12 07:00:00;;0;;202,02;1163
Puebla de la Sierra                         ;2020/04/12 07:00:00;;0;;0;1185
Perales de Tajuña                           ;2020/04/12 07:00:00;;80,58;7;188,02;1104
Valdemorillo                                ;2020/04/12 07:00:00;15;123,75;26;214,5;1603
Navalafuente                                ;2020/04/12 07:00:00;;251,89;;377,83;941
Velilla de San Antonio                      ;2020/04/12 07:00:00;23;184,1;51;408,23;1678
Villanueva de la Cañada                     ;2020/04/12 07:00:00;18;73,82;69;282,97;1760
Villanueva del Pardillo                     ;2020/04/12 07:00:00;12;71,05;60;355,26;1776
Nuevo Baztán                                ;2020/04/12 07:00:00;7;105,31;24;361,07;1006
Villamantilla                               ;2020/04/12 07:00:00;;118,48;7;829,38;1757
Villamanta                                  ;2020/04/12 07:00:00;6;281,56;7;328,48;1744
Cabanillas de la Sierra                     ;2020/04/12 07:00:00;;690,85;9;1554,4;297
Cenicientos                                 ;2020/04/12 07:00:00;;203,98;17;866,9;376
Puentes Viejas                              ;2020/04/12 07:00:00;;218,82;;437,64;9020
Aranjuez                                    ;2020/04/12 07:00:00;135;212,83;354;558,09;133
Cercedilla                                  ;2020/04/12 07:00:00;31;414,05;69;921,6;382
Santorcaz                                   ;2020/04/12 07:00:00;;176,68;7;1236,75;1369
Coslada                                     ;2020/04/12 07:00:00;240;271,48;615;695,68;493
Morata de Tajuña                            ;2020/04/12 07:00:00;15;193,12;81;1042,87;915
Robregordo                                  ;2020/04/12 07:00:00;;0;;0;1261
Navarredonda y San Mamés                    ;2020/04/12 07:00:00;;0;;1204,82;973
Venturada                                   ;2020/04/12 07:00:00;;0;;70,82;1697
Navacerrada                                 ;2020/04/12 07:00:00;;143,47;11;394,55;936
Montejo de la Sierra                        ;2020/04/12 07:00:00;;279,33;;279,33;881
Fresno de Torote                            ;2020/04/12 07:00:00;;249,79;13;1082,43;571
Pinilla del Valle                           ;2020/04/12 07:00:00;;0;;0;1126
Valdemaqueda                                ;2020/04/12 07:00:00;;233,92;;350,88;1599
Navas del Rey                               ;2020/04/12 07:00:00;6;203,8;42;1426,63;992
Olmeda de las Fuentes                       ;2020/04/12 07:00:00;;0;;1244,81;1013
Bustarviejo                                 ;2020/04/12 07:00:00;;168,82;6;337,65;284
Becerril de la Sierra                       ;2020/04/12 07:00:00;11;190,58;21;363,83;186
Fuenlabrada                                 ;2020/04/12 07:00:00;390;191,16;1143;560,25;587
Garganta de los Montes                      ;2020/04/12 07:00:00;;0;;364,96;626
Pinto                                       ;2020/04/12 07:00:00;52;97,83;174;327,36;1132
Alameda del Valle                           ;2020/04/12 07:00:00;;0;;0;35
Berzosa del Lozoya                          ;2020/04/12 07:00:00;;1315,79;;1315,79;203
Los Santos de la Humosa                     ;2020/04/12 07:00:00;;238,24;18;1072,07;1375
El Álamo                                    ;2020/04/12 07:00:00;13;131,67;33;334,24;40
Pelayos de la Presa                         ;2020/04/12 07:00:00;;150,09;15;562,85;1090
Galapagar                                   ;2020/04/12 07:00:00;48;144,71;131;394,94;611
Griñón                                      ;2020/04/12 07:00:00;25;216,53;67;580,29;663
