municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
El Álamo;2020/09/08 11:03:00;;21,12;29;306,23;178;1879,62;40
Puentes Viejas;2020/09/08 11:03:00;;147,28;;147,28;;589,1;9020
Santorcaz;2020/09/08 11:03:00;;0;;112,87;9;1015,8;1369
Venturada;2020/09/08 11:03:00;;46,23;14;647,25;21;970,87;1697
Alcalá de Henares;2020/09/08 11:03:00;27;13,8;664;339,38;3946;2016,88;53
Pinilla del Valle;2020/09/08 11:03:00;;0;;523,56;;523,56;1126
Valdemaqueda;2020/09/08 11:03:00;;0;;384,12;8;1024,33;1599
Olmeda de las Fuentes;2020/09/08 11:03:00;;0;;0;6;1724,14;1013
Pinto;2020/09/08 11:03:00;22;41,88;165;314,13;699;1330,77;1132
Los Santos de la Humosa;2020/09/08 11:03:00;;0;10;386,1;44;1698,84;1375
Alcobendas;2020/09/08 11:03:00;69;58,95;893;762,99;3063;2617,05;66
Pelayos de la Presa;2020/09/08 11:03:00;;0;10;385,21;52;2003,08;1090
Alcorcón;2020/09/08 11:03:00;116;68,03;805;472,1;3694;2166,39;72
Talamanca de Jarama;2020/09/08 11:03:00;;0;11;285,2;93;2411,2;1454
San Lorenzo de El Escorial;2020/09/08 11:03:00;7;38,11;65;353,86;264;1437,2;1317
San Martín de la Vega;2020/09/08 11:03:00;5;26,08;67;349,5;342;1784,04;1322
Parla;2020/09/08 11:03:00;172;132,18;1140;876,09;3097;2380,04;1065
Aldea del Fresno;2020/09/08 11:03:00;;0;;35,24;70;2466,53;88
Torremocha de Jarama;2020/09/08 11:03:00;;0;;98,14;18;1766,44;1533
Algete;2020/09/08 11:03:00;7;33,96;100;485,18;380;1843,68;91
Soto del Real;2020/09/08 11:03:00;;0;20;227,3;119;1352,43;1441
Valverde de Alcalá;2020/09/08 11:03:00;;0;;215,05;9;1935,48;1662
Valdeolmos-Alalpardo;2020/09/08 11:03:00;;48,36;12;290,14;37;894,58;1625
Valdeavero;2020/09/08 11:03:00;;0;;0;14;900,9;1564
Villamanrique de Tajo;2020/09/08 11:03:00;;0;;284,5;6;853,49;1739
Valdilecha;2020/09/08 11:03:00;;102,28;19;647,8;66;2250,26;1659
Pezuela de las Torres;2020/09/08 11:03:00;;0;;0;;237,53;1111
Alpedrete;2020/09/08 11:03:00;;20,58;24;164,67;222;1523,16;105
Villar del Olmo;2020/09/08 11:03:00;;49,73;;198,91;19;944,8;1795
San Martín de Valdeiglesias;2020/09/08 11:03:00;;23,64;45;531,98;184;2175,2;1338
Torrelodones;2020/09/08 11:03:00;11;46,38;57;240,33;489;2061,81;1527
Torrejón de Velasco;2020/09/08 11:03:00;;91,28;26;593,34;71;1620,26;1505
Ambite;2020/09/08 11:03:00;;0;5;844,59;15;2533,78;112
Villanueva de Perales;2020/09/08 11:03:00;;0;;63,98;6;383,88;1782
Tielmes;2020/09/08 11:03:00;;75,47;14;528,3;94;3547,17;1467
