Fecha;cod_ine;CCAA;Total Pacientes COVID ingresados;% Camas Ocupadas COVID;Total pacientes COVID en UCI;% Camas Ocupadas UCI COVID;Ingresos COVID últimas 24 h;Altas COVID últimas 24 h
2020-09-01;11;Extremadura;52,0;2;12,0;;8,0;3,0
2020-09-01;12;Galicia;119,0;2;11,0;;32,0;4,0
2020-09-01;13;Madrid;2104,0;15;216,0;;285,0;264,0
2020-09-01;19;Melilla;6,0;3;2,0;;1,0;1,0
2020-09-01;14;Murcia;152,0;7;27,0;;27,0;9,0
2020-09-01;15;Navarra;49,0;3;10,0;;9,0;6,0
2020-09-01;16;País Vasco;460,0;11;48,0;;88,0;73,0
2020-09-01;17;La Rioja;50,0;7;6,0;;9,0;8,0
2020-09-01;0;España;6924,0;6;874,0;;1907,0;760,0
2020-09-02;1;Andalucía;712,0;4;95,0;;149,0;83,0
2020-09-02;2;Aragón;475,0;12;66,0;;52,0;58,0
2020-09-02;3;Asturias;50,0;2;4,0;;11,0;1,0
2020-09-02;4;Baleares;331,0;11;56,0;;44,0;25,0
2020-09-02;5;Canarias;211,0;4;45,0;;33,0;20,0
2020-09-02;6;Cantabria;45,0;3;5,0;;8,0;8,0
2020-09-02;8;Castilla La Mancha;329,0;7;49,0;;53,0;21,0
2020-09-02;7;Castilla y León;321,0;6;36,0;;33,0;42,0
2020-09-02;9;Cataluña;1068,0;5;147,0;;110,0;117,0
2020-09-02;18;Ceuta;4,0;3;0,0;;0,0;0,0
2020-09-02;10;C. Valenciana;477,0;4;59,0;;71,0;51,0
2020-09-02;11;Extremadura;57,0;2;13,0;;7,0;4,0
2020-09-02;12;Galicia;197,0;2;18,0;;40,0;22,0
2020-09-02;13;Madrid;2162,0;16;230,0;;306,0;250,0
2020-09-02;19;Melilla;7,0;4;2,0;;1,0;0,0
2020-09-02;14;Murcia;217,0;7;46,0;;60,0;36,0
2020-09-02;15;Navarra;80,0;5;9,0;;15,0;16,0
2020-09-02;16;País Vasco;394,0;11;43,0;;67,0;55,0
2020-09-02;17;La Rioja;57,0;7;7,0;;7,0;1,0
2020-09-02;0;España;7194,0;6;930,0;;1067,0;810,0
2020-09-03;1;Andalucía;741,0;5;105,0;;141,0;86,0
2020-09-03;2;Aragón;463,0;12;67,0;;43,0;49,0
2020-09-03;3;Asturias;47,0;1;5,0;;12,0;5,0
2020-09-03;4;Baleares;316,0;11;57,0;;35,0;33,0
2020-09-03;5;Canarias;210,0;5;49,0;;36,0;23,0
2020-09-03;6;Cantabria;40,0;3;5,0;;6,0;1,0
2020-09-03;8;Castilla La Mancha;362,0;8;43,0;;64,0;27,0
2020-09-03;7;Castilla y León;335,0;6;39,0;;57,0;36,0
2020-09-03;9;Cataluña;1051,0;4;147,0;;93,0;114,0
2020-09-03;18;Ceuta;5,0;3;0,0;;1,0;0,0
2020-09-03;10;C. Valenciana;490,0;4;64,0;;84,0;57,0
2020-09-03;11;Extremadura;55,0;2;13,0;;11,0;3,0
2020-09-03;12;Galicia;208,0;3;17,0;;40,0;21,0
2020-09-03;13;Madrid;2206,0;15;243,0;;311,0;277,0
2020-09-03;19;Melilla;6,0;3;2,0;;2,0;2,0
2020-09-03;14;Murcia;240,0;7;48,0;;47,0;31,0
2020-09-03;15;Navarra;87,0;5;11,0;;18,0;12,0
2020-09-03;16;País Vasco;474,0;11;54,0;;64,0;69,0
2020-09-03;17;La Rioja;56,0;7;7,0;;5,0;6,0
2020-09-03;0;España;7392,0;7;976,0;;1070,0;852,0
2020-09-06;1;Andalucía;800,0;5;120,0;;113,0;41,0
2020-09-06;2;Aragón;482,0;12;66,0;;44,0;13,0
2020-09-06;3;Asturias;51,0;2;7,0;;11,0;3,0
2020-09-06;4;Baleares;351,0;13;56,0;;26,0;13,0
2020-09-06;5;Canarias;249,0;5;47,0;;22,0;11,0
2020-09-06;6;Cantabria;54,0;4;9,0;;8,0;1,0
2020-09-06;8;Castilla La Mancha;416,0;9;44,0;;59,0;8,0
2020-09-06;7;Castilla y León;382,0;8;40,0;;45,0;15,0
2020-09-06;9;Cataluña;1009,0;5;148,0;;90,0;55,0
2020-09-06;18;Ceuta;9,0;6;1,0;;2,0;0,0
2020-09-06;10;C. Valenciana;492,0;5;74,0;;63,0;28,0
2020-09-06;11;Extremadura;66,0;2;11,0;;7,0;72,0
2020-09-06;12;Galicia;205,0;3;18,0;;25,0;17,0
2020-09-06;13;Madrid;2477,0;18;274,0;;221,0;81,0
2020-09-06;19;Melilla;10,0;6;2,0;;3,0;0,0
2020-09-06;14;Murcia;212,0;8;47,0;;32,0;17,0
2020-09-06;15;Navarra;99,0;6;8,0;;8,0;2,0
2020-09-06;16;País Vasco;459,0;12;52,0;;40,0;21,0
2020-09-06;17;La Rioja;69,0;9;10,0;;5,0;1,0
2020-09-06;0;España;7892,0;7;1034,0;;824,0;399,0
2020-09-07;1;Andalucía;796,0;5;120,0;;132,0;79,0
2020-09-07;2;Aragón;473,0;12;67,0;;52,0;54,0
2020-09-07;3;Asturias;44,0;2;7,0;;3,0;4,0
2020-09-07;4;Baleares;356,0;13;54,0;;33,0;29,0
2020-09-07;5;Canarias;253,0;5;54,0;;31,0;19,0
2020-09-07;6;Cantabria;51,0;4;9,0;;11,0;7,0
2020-09-07;8;Castilla La Mancha;325,0;9;37,0;;40,0;41,0
2020-09-07;7;Castilla y León;333,0;7;38,0;;49,0;42,0
2020-09-07;9;Cataluña;1130,0;5;149,0;;102,0;118,0
2020-09-07;18;Ceuta;7,0;4;1,0;;0,0;2,0
2020-09-07;10;C. Valenciana;540,0;5;80,0;;78,0;44,0
2020-09-07;11;Extremadura;65,0;2;8,0;;6,0;2,0
2020-09-07;12;Galicia;220,0;3;23,0;;27,0;27,0
2020-09-07;13;Madrid;2508,0;18;288,0;;294,0;330,0
2020-09-07;19;Melilla;;;;;;
2020-09-07;14;Murcia;203,0;8;39,0;;42,0;29,0
2020-09-07;15;Navarra;104,0;6;7,0;;1,0;15,0
2020-09-07;16;País Vasco;445,0;11;60,0;;45,0;92,0
2020-09-07;17;La Rioja;69,0;9;10,0;;9,0;10,0
2020-09-07;0;España;7972,0;8;1051,0;;955,0;944,0
2020-09-08;1;Andalucía;895,0;5;134,0;;127,0;69,0
2020-09-08;2;Aragón;487,0;12;68,0;;50,0;43,0
2020-09-08;3;Asturias;55,0;2;8,0;;17,0;3,0
2020-09-08;4;Baleares;352,0;13;52,0;;29,0;32,0
2020-09-08;5;Canarias;256,0;5;58,0;;32,0;20,0
2020-09-08;6;Cantabria;48,0;3;9,0;;5,0;10,0
2020-09-08;8;Castilla La Mancha;437,0;10;47,0;;52,0;28,0
2020-09-08;7;Castilla y León;480,0;7;45,0;;51,0;27,0
2020-09-08;9;Cataluña;1122,0;5;151,0;;111,0;124,0
2020-09-08;18;Ceuta;9,0;6;1,0;;2,0;1,0
2020-09-08;10;C. Valenciana;537,0;5;78,0;;65,0;53,0
2020-09-08;11;Extremadura;76,0;2;12,0;;11,0;4,0
2020-09-08;12;Galicia;219,0;3;22,0;;36,0;27,0
2020-09-08;13;Madrid;2506,0;17;299,0;;343,0;321,0
2020-09-08;19;Melilla;11,0;6;2,0;;1,0;1,0
2020-09-08;14;Murcia;800,0;9;65,0;;68,0;28,0
2020-09-08;15;Navarra;106,0;6;8,0;;19,0;16,0
2020-09-08;16;País Vasco;477,0;11;62,0;;79,0;74,0
2020-09-08;17;La Rioja;75,0;10;10,0;;9,0;3,0
2020-09-08;0;España;8398,0;7,30;1131,0;;1107,0;884,0
2020-09-09;1;Andalucía;928,0;6;138,0;;161,0;112,0
2020-09-09;2;Aragón;473,0;12;66,0;;53,0;58,0
2020-09-09;3;Asturias;55,0;2;9,0;;11,0;3,0
2020-09-09;4;Baleares;339,0;12;53,0;;25,0;30,0
2020-09-09;5;Canarias;257,0;5;60,0;;21,0;17,0
2020-09-09;6;Cantabria;59,0;4;9,0;;21,0;4,0
2020-09-09;8;Castilla La Mancha;456,0;10;52,0;;58,0;33,0
2020-09-09;7;Castilla y León;337,0;6;41,0;;45,0;30,0
2020-09-09;9;Cataluña;1128,0;5;151,0;;112,0;114,0
2020-09-09;18;Ceuta;7,0;5;1,0;;1,0;2,0
2020-09-09;10;C. Valenciana;533,0;5;79,0;;75,0;48,0
2020-09-09;11;Extremadura;84,0;2;15,0;;11,0;7,0
2020-09-09;12;Galicia;230,0;3;25,0;;44,0;23,0
2020-09-09;13;Madrid;2563,0;18;304,0;;328,0;348,0
2020-09-09;19;Melilla;14,0;8;1,0;;5,0;2,0
2020-09-09;14;Murcia;258,0;9;54,0;;61,0;38,0
2020-09-09;15;Navarra;109,0;6;7,0;;15,0;15,0
2020-09-09;16;País Vasco;503,0;12;60,0;;88,0;72,0
2020-09-09;17;La Rioja;68,0;9;11,0;;6,0;13,0
2020-09-09;0;España;8401,0;7,40;1136,0;;1141,0;969,0
2020-09-10;1;Andalucía;959,0;6;135,0;;149,0;87,0
2020-09-10;2;Aragón;459,0;11;60,0;;50,0;49,0
2020-09-10;3;Asturias;64,0;2;9,0;;15,0;2,0
2020-09-10;4;Baleares;346,0;12;65,0;;27,0;27,0
2020-09-10;5;Canarias;247,0;5;59,0;;25,0;31,0
2020-09-10;6;Cantabria;65,0;4;6,0;;8,0;3,0
2020-09-10;8;Castilla La Mancha;468,0;10;53,0;;55,0;44,0
2020-09-10;7;Castilla y León;430,0;7;48,0;;61,0;33,0
